Desc	Family ID	Adohon	Amytra	Arcpla	Bicany	Bommor	Calcec	Cydspl	Danple	Heldem	Hellat	Helmel	Hylves	Hypkah	Juncoe	Leracc	Mansex	Melcin	Opebru	Ostnub	Papgla	Papmac	Pappol	Papxut	Phosen	Pienap	Ploint	Pluxyl	Spofru	Tricni	Vancar
(null)	119	4	8	12	1	9	18	11	11	6	6	15	22	76	20	21	7	30	14	7	21	51	5	8	3	3	0	7	8	15	5
(null)	120	12	10	13	13	15	17	13	16	17	23	20	15	13	12	13	12	19	15	11	12	12	13	12	12	12	12	11	18	17	12
(null)	121	14	10	11	13	11	13	13	13	16	15	16	10	15	23	11	18	13	11	15	10	11	12	13	16	16	12	14	21	18	12
(null)	122	17	14	16	10	7	15	14	11	23	26	23	10	11	13	8	16	10	13	11	10	7	9	12	17	24	14	15	13	11	10
(null)	123	14	5	6	17	20	20	21	9	14	16	16	31	9	20	13	28	12	0	6	12	25	14	22	7	6	10	5	13	0	13
(null)	124	15	9	20	10	10	18	15	7	13	17	10	21	35	24	8	11	13	20	19	5	8	12	9	13	7	6	12	17	10	9
(null)	125	7	23	38	3	6	20	34	5	9	7	8	24	36	36	6	5	16	12	7	1	1	4	0	6	12	7	0	19	7	38
(null)	126	17	12	11	12	12	10	23	10	12	6	16	18	6	22	7	16	12	22	29	9	7	12	4	19	1	18	13	11	13	16
(null)	127	12	15	11	11	13	14	13	14	12	17	14	15	11	12	14	13	15	10	15	14	13	12	13	12	12	14	13	14	14	14
(null)	128	14	32	3	6	1	34	76	2	0	0	0	12	27	12	11	12	3	32	23	4	9	1	6	3	0	13	31	4	11	11
(null)	129	1	7	9	2	9	16	6	67	11	7	61	5	42	17	9	2	22	4	3	11	19	2	7	6	16	1	0	4	2	24
(null)	130	6	2	22	25	11	23	52	8	15	5	14	22	0	64	2	3	12	43	1	0	6	7	1	6	7	2	2	0	0	27
(null)	131	17	14	14	15	14	16	14	11	13	13	13	9	15	15	7	9	11	14	11	11	15	16	13	13	10	13	8	20	11	12
(null)	132	9	10	13	11	11	15	16	11	11	19	10	14	12	15	12	8	17	13	11	19	11	10	16	15	14	11	11	20	12	9
(null)	133	13	11	17	19	9	11	11	18	8	10	9	30	18	11	12	12	10	15	13	10	14	11	11	10	12	11	14	14	11	10
(null)	134	16	15	15	16	14	12	13	10	15	15	12	12	13	10	8	11	11	13	16	7	13	15	14	10	8	12	12	14	15	13
(null)	135	9	16	11	13	11	16	12	12	11	17	14	13	11	10	14	15	16	10	12	10	13	11	14	12	11	14	12	17	9	12
(null)	136	11	13	15	11	13	13	11	11	12	15	11	18	9	11	12	15	14	14	11	11	11	11	12	13	12	9	11	19	13	13
(null)	137	10	17	12	11	13	17	12	11	10	12	10	13	16	15	9	12	11	13	10	11	13	10	9	13	11	18	16	12	10	12
(null)	138	24	15	32	6	11	5	13	6	10	11	13	20	16	11	7	19	8	8	18	7	5	8	8	7	7	13	4	24	25	8
(null)	139	12	11	12	12	13	11	13	11	16	10	13	13	13	10	13	18	14	9	14	10	13	8	9	14	13	10	13	16	12	11
(null)	140	3	5	7	13	9	5	8	16	9	8	8	11	5	23	9	16	10	7	5	6	10	10	8	44	51	5	10	12	12	13
(null)	141	4	12	49	5	9	7	6	10	8	2	2	8	30	16	2	1	57	11	3	3	11	2	3	5	35	5	0	11	6	35
(null)	142	14	10	11	13	12	10	13	12	12	11	12	11	11	12	12	13	12	12	12	12	12	10	12	11	13	13	12	13	11	11
(null)	143	10	12	14	23	9	10	14	8	10	10	11	13	18	13	8	14	11	8	10	8	15	11	10	17	14	10	10	12	11	10
(null)	144	16	6	22	11	12	13	7	9	10	11	11	9	19	16	9	16	11	15	6	15	14	16	12	8	12	10	6	9	11	9
(null)	145	2	23	19	6	1	12	42	2	15	10	16	11	11	33	6	4	14	35	13	1	3	4	4	7	2	11	3	5	4	31
(null)	146	7	17	10	12	10	12	31	11	11	15	12	15	10	8	8	8	9	13	9	9	12	10	10	8	10	21	10	12	10	9
(null)	147	13	10	10	10	13	14	10	9	15	17	11	19	10	12	9	10	13	6	8	14	10	16	10	10	9	11	12	11	12	11
(null)	148	13	9	9	26	6	21	14	8	18	12	19	7	9	21	11	7	7	6	8	9	12	10	12	11	16	8	6	10	9	10
(null)	149	11	10	11	13	13	13	14	10	12	11	13	11	12	12	8	12	10	9	10	15	9	11	10	9	10	11	11	11	14	11
(null)	150	13	11	8	12	9	9	13	11	10	16	11	9	12	14	13	12	11	13	9	10	11	10	13	10	8	12	12	12	9	13
(null)	151	10	10	10	11	14	12	11	7	7	10	11	16	14	9	8	11	11	11	9	13	16	14	12	11	13	14	9	13	10	9
(null)	152	9	10	26	7	9	12	10	6	10	10	10	12	11	12	9	9	12	12	9	12	9	11	11	9	12	12	21	12	12	9
(null)	153	22	4	20	9	19	16	18	5	5	8	5	16	4	7	12	11	6	20	10	12	7	13	9	5	12	6	5	19	21	4
(null)	154	11	11	10	11	11	8	10	12	12	10	11	11	12	11	9	11	10	16	10	10	13	12	11	11	12	12	11	11	9	11
(null)	155	9	12	10	12	19	12	8	13	10	11	9	12	13	10	8	13	13	9	11	11	10	11	9	12	10	13	8	10	11	9
(null)	156	11	10	10	11	11	10	13	12	15	13	11	11	11	12	10	11	8	12	11	8	12	6	8	9	9	14	10	15	12	10
(null)	157	15	0	6	7	8	47	17	9	3	2	7	7	41	19	18	4	36	6	16	5	4	1	1	4	6	3	1	12	16	1
(null)	158	14	13	9	14	8	22	15	4	13	11	14	13	7	13	7	12	12	12	7	11	7	7	8	10	7	9	6	14	15	7
(null)	159	11	8	6	17	8	14	7	9	11	12	12	16	10	15	9	10	10	12	8	12	12	13	10	14	14	7	8	10	7	8
(null)	160	12	4	20	11	19	64	14	0	0	1	0	12	13	1	21	4	10	17	20	12	7	4	0	15	2	3	3	18	9	2
(null)	161	2	21	0	4	0	11	16	2	15	11	6	3	20	44	9	4	4	13	1	2	1	0	1	4	3	7	12	25	35	39
(null)	162	6	5	11	16	9	12	6	5	14	14	17	13	8	41	4	8	13	11	6	8	11	7	5	11	11	3	7	11	9	12
(null)	163	8	2	25	6	5	14	24	2	5	4	3	22	37	19	5	5	35	16	9	3	8	3	3	12	6	2	2	7	5	11
(null)	164	2	0	2	5	9	6	8	37	15	16	9	0	24	5	0	3	12	0	0	4	99	8	14	0	4	0	0	0	1	24
(null)	165	23	13	15	11	4	21	21	17	6	5	8	9	4	6	8	13	6	13	13	6	10	9	9	8	7	9	4	15	8	5
(null)	166	10	12	13	10	12	7	10	11	10	12	11	9	10	10	5	11	10	10	11	9	10	11	10	9	11	10	8	11	12	10
(null)	167	3	11	35	7	13	21	11	4	11	1	6	19	12	22	5	4	38	5	2	2	8	3	1	3	3	6	1	5	9	32
(null)	168	18	4	13	14	5	19	6	12	13	11	11	5	8	10	10	6	9	12	12	14	12	12	12	10	16	4	5	7	4	8
(null)	169	15	10	10	15	14	9	23	6	5	7	6	21	6	9	2	11	8	8	10	15	5	8	8	9	4	10	22	8	9	8
(null)	170	15	11	12	8	6	21	8	7	8	8	8	13	10	9	8	10	6	10	8	7	16	13	13	8	10	11	5	9	11	9
(null)	171	4	4	32	11	3	10	0	0	24	34	13	35	5	10	2	18	4	8	11	11	1	1	0	5	8	1	2	20	15	5
(null)	172	9	11	8	9	11	10	8	11	10	13	10	11	9	10	9	11	9	10	9	9	10	9	9	10	9	12	10	11	9	9
(null)	173	20	11	11	3	4	1	58	1	2	2	1	8	18	5	5	2	1	2	4	1	38	1	22	1	5	12	25	15	7	7
(null)	174	9	10	7	9	9	11	10	11	10	9	11	9	10	10	11	9	10	9	8	7	10	9	10	11	10	14	9	11	10	10
(null)	175	10	11	8	10	10	8	10	9	9	11	8	11	9	12	10	10	9	13	10	12	11	8	11	11	9	9	8	8	9	8
(null)	176	19	10	15	8	7	7	13	9	5	6	6	8	13	8	10	6	4	11	11	14	13	11	9	8	21	5	5	11	9	9
(null)	177	18	6	12	7	5	4	29	12	8	11	12	7	17	12	9	6	14	9	8	4	5	5	4	18	9	5	4	9	10	10
(null)	178	2	4	18	5	2	27	18	7	4	2	1	8	58	25	3	10	30	3	5	2	4	3	1	5	4	3	2	15	7	11
(null)	179	7	11	11	13	8	10	8	6	7	7	9	12	3	11	7	10	11	9	12	12	9	11	8	11	6	12	10	11	10	12
(null)	180	7	6	19	10	7	5	8	6	14	16	14	17	5	11	6	19	12	7	11	7	9	8	8	13	7	5	4	8	8	5
(null)	181	8	8	10	8	10	6	15	9	11	18	10	7	6	8	9	9	11	10	8	7	11	7	8	8	8	12	6	8	14	8
(null)	182	10	11	9	15	6	13	12	9	8	7	9	11	7	7	9	14	6	7	4	9	14	14	13	5	5	8	7	6	14	6
(null)	183	13	11	9	8	7	14	6	10	9	9	11	19	6	10	6	12	6	10	6	8	8	7	8	11	11	6	6	10	8	8
(null)	184	8	6	14	12	8	7	9	11	6	10	11	11	9	11	5	7	6	9	8	9	10	9	9	11	7	7	11	9	10	12
(null)	185	9	10	9	8	9	8	9	10	9	8	9	10	11	9	8	8	10	9	6	8	8	9	9	9	8	10	8	9	9	9
(null)	186	3	1	13	11	7	3	12	7	27	27	23	26	10	16	0	2	11	13	10	0	3	0	2	17	6	0	1	11	2	0
(null)	187	0	6	18	3	0	9	14	0	10	5	0	15	63	26	3	1	11	14	3	4	8	2	5	3	1	2	11	4	2	21
(null)	188	8	9	10	8	9	9	8	8	9	9	10	8	8	10	8	8	9	13	9	8	8	7	8	8	9	10	9	8	9	8
(null)	189	19	7	5	7	15	13	26	4	7	7	5	8	20	4	4	11	4	10	15	7	6	7	7	9	1	4	8	9	7	4
(null)	190	7	8	8	8	10	6	7	11	10	15	8	8	9	7	8	9	9	11	9	10	9	7	8	7	8	8	9	8	9	7
(null)	191	9	8	9	8	9	10	8	9	8	9	8	10	8	10	8	9	8	8	7	7	11	7	10	8	12	8	8	7	7	9
